LAT,LON,YEAR,MO,DY,TEMPERATURE,RADIATION
8.25,74.25,2020,3,31,29.39,6.44
8.25,74.75,2020,3,31,29.19,6.44
8.25,75.25,2020,3,31,28.99,6.59
8.25,75.75,2020,3,31,28.94,6.59
8.25,76.25,2020,3,31,29.15,6.94
8.25,76.75,2020,3,31,29.94,6.94
8.25,77.25,2020,3,31,29.9,6.66
8.75,74.25,2020,3,31,29.4,6.44
8.75,74.75,2020,3,31,29.26,6.44
8.75,75.25,2020,3,31,29.1,6.59
8.75,75.75,2020,3,31,29.14,6.59
8.75,76.25,2020,3,31,29.56,6.94
8.75,76.75,2020,3,31,30.11,6.94
8.75,77.25,2020,3,31,30,6.66
9.25,74.25,2020,3,31,29.39,6.66
9.25,74.75,2020,3,31,29.3,6.66
9.25,75.25,2020,3,31,29.19,6.61
9.25,75.75,2020,3,31,29.33,6.61
9.25,76.25,2020,3,31,30.18,7.06
9.25,76.75,2020,3,31,29.29,7.06
9.25,77.25,2020,3,31,29.31,7.19
9.75,74.25,2020,3,31,29.43,6.66
9.75,74.75,2020,3,31,29.34,6.66
9.75,75.25,2020,3,31,29.24,6.61
9.75,75.75,2020,3,31,29.49,6.61
9.75,76.25,2020,3,31,30.79,7.06
9.75,76.75,2020,3,31,28.21,7.06
9.75,77.25,2020,3,31,27.92,7.19
10.25,74.25,2020,3,31,29.42,6.68
10.25,74.75,2020,3,31,29.37,6.68
10.25,75.25,2020,3,31,29.39,7
10.25,75.75,2020,3,31,29.85,7
10.25,76.25,2020,3,31,31.39,7.1
10.25,76.75,2020,3,31,28.53,7.1
10.25,77.25,2020,3,31,28.05,7.26
10.75,74.25,2020,3,31,29.42,6.68
10.75,74.75,2020,3,31,29.4,6.68
10.75,75.25,2020,3,31,29.66,7
10.75,75.75,2020,3,31,30.26,7
10.75,76.25,2020,3,31,30.99,7.1
10.75,76.75,2020,3,31,29.47,7.1
10.75,77.25,2020,3,31,29.64,7.26
11.25,74.25,2020,3,31,29.4,6.75
11.25,74.75,2020,3,31,29.48,6.75
11.25,75.25,2020,3,31,29.87,7.28
11.25,75.75,2020,3,31,30.17,7.28
11.25,76.25,2020,3,31,29.35,7.31
11.25,76.75,2020,3,31,28.68,7.31
11.25,77.25,2020,3,31,29.75,7.46
11.75,74.25,2020,3,31,29.36,6.75
11.75,74.75,2020,3,31,29.63,6.75
11.75,75.25,2020,3,31,29.87,7.28
11.75,75.75,2020,3,31,29.67,7.28
11.75,76.25,2020,3,31,28.53,7.31
11.75,76.75,2020,3,31,28.12,7.31
11.75,77.25,2020,3,31,28.87,7.46
12.25,74.25,2020,3,31,29.33,7.07
12.25,74.75,2020,3,31,29.88,7.07
12.25,75.25,2020,3,31,29.86,7.28
12.25,75.75,2020,3,31,29.14,7.28
12.25,76.25,2020,3,31,28.42,7.44
12.25,76.75,2020,3,31,28.63,7.44
12.25,77.25,2020,3,31,28.57,7.51
12.75,74.25,2020,3,31,29.38,7.07
12.75,74.75,2020,3,31,30.11,7.07
12.75,75.25,2020,3,31,29.89,7.28
12.75,75.75,2020,3,31,28.71,7.28
12.75,76.25,2020,3,31,28.03,7.44
12.75,76.75,2020,3,31,28.63,7.44
12.75,77.25,2020,3,31,28.28,7.51
8.25,74.25,2020,4,1,29.28,6.1
8.25,74.75,2020,4,1,29.22,6.1
8.25,75.25,2020,4,1,29.24,6.12
8.25,75.75,2020,4,1,29.4,6.12
8.25,76.25,2020,4,1,29.69,6.96
8.25,76.75,2020,4,1,30.12,6.96
8.25,77.25,2020,4,1,29.75,7.17
8.75,74.25,2020,4,1,29.25,6.1
8.75,74.75,2020,4,1,29.21,6.1
8.75,75.25,2020,4,1,29.23,6.12
8.75,75.75,2020,4,1,29.48,6.12
8.75,76.25,2020,4,1,30.15,6.96
8.75,76.75,2020,4,1,30.33,6.96
8.75,77.25,2020,4,1,29.8,7.17
9.25,74.25,2020,4,1,29.3,6.68
9.25,74.75,2020,4,1,29.22,6.68
9.25,75.25,2020,4,1,29.19,6.6
9.25,75.75,2020,4,1,29.51,6.6
